"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"562248256";"167101000012024NE000057";"2024NE000057";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"***.135.111-**";"RITA DE CASSIA LENZA DE OLIVEIRA ELIAS";"339036-30 SERVICO MEDICO E ODONTOLOGICOS. 2024NC400780 - DGP, DE 03 JAN 24 . CONFORME DIEX REQUISITORIO N¤ 3-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO, DE 04 JAN 24. MAPA SIPEO N¤400780S, DE 03 JAN 24. FAVORECIDO: RITA DE CASSIA LENZA DE OLIVEIRA ELIAS CPF: 790.135.111-04.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"36";"Outros Serviços de Terceiros - Pessoa Físic";"80581.000052/2024-15";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"972,32";"972,32";"1,0000"
"562248953";"167101000012024NE000042";"2024NE000042";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA : CATIA CRISTINA DE MELO BRASIL CPF: 598.690.541-53.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"264,60";"264,60";"1,0000"
"562249074";"167101000012024NE000049";"2024NE000049";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA : RITA DE CASSIA LENZA DE OLIVEIRA CPF: 790.135.111-04.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"194,46";"194,46";"1,0000"
"562257800";"167101000012024NE000044";"2024NE000044";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA : GABRIEL TADEU COSTA JUNIOR  CPF:214.958.698-30.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.00005/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"118,98";"118,98";"1,0000"
"562248936";"167101000012024NE000047";"2024NE000047";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA : NAYANE ALVES PEREIRA  CPF: 041.992.641-08.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"52,92";"52,92";"1,0000"
"562248168";"167101000012024NE000043";"2024NE000043";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA : FERNANDO MATHEUS SILVA VAZ CPF: 062.045.321-46.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"360,80";"360,80";"1,0000"
"562245554";"167101000012024NE000045";"2024NE000045";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA : JULIANA SILVA GOULART CPF:899.019.401-68.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"211,68";"211,68";"1,0000"
"562251034";"167101000012024NE000048";"2024NE000048";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA :RENATA SILVA NARIANO  CPF: 060.779.016-44.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"284,59";"284,59";"1,0000"
"562249603";"167101000012024NE000046";"2024NE000046";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"339147-18 CONTRIBUICOES PREVIDENCIARIAS - SV TERCEIROS - PSA. 2024NC400781 DO DGP, DE 3 JAN 24 . ?DIEX Nº 2-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO , DE 4 JAN 24. MAPA SIPEO Nº 400781S , DE 3 JAN 24. ?PSA :LEIZIANE CRISTIUELI ZOCCAL  CPF: 296.205.698-90.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"Aplicação Direta Decorrente de Operação entre ";"47";"Obrigações Tributárias e Contributivas";"80581.000051/2024-62";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"24,00";"24,00";"1,0000"
"562259336";"167101000012024NE000050";"2024NE000050";"12/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167101";"23 COMPANHIA DE ENGENHARIA DE COMBATE";"00001";"TESOURO NACIONAL";"***.690.541-**";"CATIA CRISTINA DE MELO BRASIL";"339036-30 SERVICO MEDICO E ODONTOLOGICOS. 2024NC400780 - DGP, DE 03 JAN 24 . ?CONFORME DIEX REQUISITORIO N¤ 3-2.2.6.1 - FUSEX/2.2.6 GP SAU/2.2 GP CMDO, DE 04 JAN 24. ?MAPA SIPEO N¤400780S, DE 03 JAN 24. FAVORECIDO: CATIA CRISTINA DE MELO BRASIL CPF: 598.690.541-53.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"36";"Outros Serviços de Terceiros - Pessoa Físic";"80581.000052/2024-15";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"1323,00";"1323,00";"1,0000"
